No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,19.3159,240.281,3.07511,2.88083,695.375,351.53,-41.9598,-26.6602,35939.3,549.852,1,1,2,3,4,0
1,2,19.7092,239.71,3.23498,3.12255,849.072,288.729,-29.8933,4.43554,47700.7,585.201,1,2,2,3,4,0
1,3,19.9291,241.031,2.97546,2.5738,1688.99,192.417,-17.8718,-25.5175,76313.9,648.888,1,2,2,3,4,0
1,4,19.2029,241.382,2.65901,2.4003,1907.25,177.749,-10.9413,-24.4744,73986.9,621.728,1,2,2,3,4,0
1,5,19.1591,240.603,3.28003,2.58726,1470.3,160.971,-33.3586,-33.0621,75312.4,619.799,1,2,2,3,4,0
1,6,17.5792,239.468,3.26972,2.608,1411.38,343.81,-6.94749,-31.7549,70058.3,771.864,1,2,2,3,4,0
1,7,17.9024,237.999,3.22011,3.72764,1492.19,284.589,-0.127372,-19.5654,83022.9,808.615,1,2,2,3,4,0
1,8,18.1722,239.348,3.82059,3.49296,1652.67,-21.416,-15.376,-47.6553,119346,743.083,1,2,2,3,4,0
1,9,18.7037,240.152,2.65632,3.04785,738.825,256.936,-21.4375,-13.2031,34254.5,449.621,1,2,2,3,4,0
1,10,19.3741,241.064,2.77107,3.15616,700.643,160.754,-17.5802,-19.8314,35806.9,373.225,1,2,2,3,4,0
1,11,19.5896,240.505,2.92638,3.25972,795.202,112.717,-19.4929,-14.9154,44005.3,383.391,1,2,3,4,5,0
1,12,17.6751,239.518,3.53958,3.07312,604.197,139.81,-17.0147,-3.52071,36977.8,363.533,1,2,3,4,5,0
1,13,19.2182,240.594,2.86031,2.40397,459.704,142.612,-14.3343,-7.30577,22385.1,276.47,1,2,3,4,5,0
1,14,20.7613,241.671,2.18103,1.73481,315.212,145.415,-11.6539,-11.0908,7792.38,189.408,1,2,3,4,5,0
1,15,20.6312,238.927,2.58527,2.77335,473.034,157.507,-14.1663,-0.248153,20248,283.621,1,2,2,3,4,0
1,16,19.9588,239.275,2.50627,1.91273,632.642,209.736,-11.368,-0.73268,18719.6,324.124,1,2,2,3,4,0
1,17,20.5416,239.856,2.09355,2.14523,866.101,162.043,-12.0942,-6.83076,24207.4,308.479,1,2,2,3,4,0
1,18,19.6561,239.488,2.54305,2.52803,946.592,137.484,-11.8382,-15.3316,36812.8,364.278,1,2,2,3,4,0
1,19,18.5538,238.956,3.2192,3.22143,734.851,66.9611,2.03461,-1.89202,40977.7,324.683,1,2,2,3,4,0
1,20,17.4516,238.424,3.89535,3.91483,523.11,-3.56152,15.9074,11.5476,45142.6,285.089,1,2,3,3,4,0
1,21,16.6604,240.454,2.66587,1.95183,648.788,207.725,1.02703,-13.9979,20328.4,326.515,1,2,2,3,4,0
1,22,16.2753,239.806,2.75886,2.98042,433.572,182.74,1.80438,-12.3686,20807.3,313.243,,,,,,0
2,1,45.523,490.793,2.3729,2.19793,767.779,179.608,-14.6356,5.52067,24749.2,328.799,1,1,1,1,1,0
