No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,13.8195,340.664,3.06656,2.00842,462.746,191.162,-3.90352,-13.6478,16953.6,308.562,1,2,3,4,5,0
1,2,15.4172,342.873,2.87466,2.47474,1267.3,173.245,5.3179,-2.64063,53694.6,494.675,1,2,3,4,5,0
1,3,12.0076,343.046,3.55631,2.28889,770.245,222.824,9.54766,-16.2325,35533.6,423.071,1,2,3,4,5,0
1,4,12.7524,339.827,2.371,1.95652,866.288,214.949,-2.74679,-10.739,24916.6,368.527,1,2,3,4,5,0
1,5,9.83044,339.396,2.88466,2.45345,873.744,134.623,3.94306,-0.160644,36856.9,370.349,1,2,3,4,5,0
1,6,9.46655,338.182,2.94433,2.47869,663.078,195.448,19.4581,5.96999,29740.6,372.976,1,1,2,2,4,0
1,7,10.1252,337.641,1.70791,1.87457,855.528,149.24,12.9816,1.70173,16795.6,255.012,1,1,1,2,3,0
1,8,9.77565,337.157,2.00518,2.00037,766.211,117.824,11.9084,6.94883,19210.6,223.953,1,1,1,2,3,0
1,9,10.0714,337.423,2.17102,2.24325,462.201,147.577,10.5859,5.39916,13955,236.071,1,1,1,2,3,0
1,10,9.55639,337.343,2.26265,1.71558,500.083,120.539,9.68459,-1.61788,12084.8,192.633,1,1,1,2,3,0
1,11,10.1529,337.431,1.91793,1.97469,658.336,113.105,-7.38107,-3.08944,15598.8,204.254,1,1,1,2,3,0
1,12,10.1487,337.729,1.84617,2.11337,626.696,63.8152,-2.29499,-0.436661,15278.5,162.621,1,1,1,2,3,0
1,13,10.2449,337.277,1.53144,1.7169,682.912,152.47,-4.39717,5.57249,11275.9,210.278,1,1,2,3,4,0
1,14,9.22452,337.906,2.14603,2.08509,905.699,217.608,12.4867,-7.15433,25242.2,366.089,1,1,2,3,4,0
1,15,10.3768,337.774,1.93383,2.03366,732.536,150.972,-7.40797,-5.43766,18008.5,260.976,1,1,2,2,4,0
1,16,10.4464,337.287,2.28535,2.61352,498.452,78.6892,2.43099,-10.3172,18129,187.639,1,1,2,2,3,0
1,17,10.3146,338.114,2.42413,2.56895,614.717,90.0968,0.36271,-4.29835,23281.9,233.456,1,1,1,2,3,0
1,18,10.1971,337.775,2.23766,2.75871,568.87,120.503,2.26183,-11.497,21235.8,248.663,1,1,1,1,1,0
1,19,10.106,337.328,2.15322,1.62484,513.079,170.348,31.8761,11.1289,12605.5,257,1,1,1,1,1,0
1,20,10.2993,337.416,1.42376,1.57979,517.095,211.241,12.3199,6.4934,7306.45,260.769,1,1,1,1,1,0
1,21,10.0562,337.148,1.63212,2.11849,481.743,166.128,6.06865,-1.79369,10418.4,233.071,1,1,1,2,1,0
1,22,10.4262,337.491,1.88225,2.52625,668.207,219.124,19.0367,-6.46074,19553.8,338.834,1,1,1,2,2,0
1,23,10.445,337.514,1.97993,2.17822,652.744,113.983,14.0724,-8.81072,18110.3,228.349,1,1,1,2,3,0
