No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,191.5,0.5,3.5355339059327373,3.5355339059327373,1533.0,0.0,0.0,0.0,32965.0,716.6304347826087,1,2,1,1,1,0
1,2,191.5,0.5,3.5355339059327373,3.5355339059327373,1416.0,0.0,0.0,0.0,30823.0,670.0652173913044,1,2,3,4,5,0
1,3,191.36494874695543,2.719487921846736,3.5355339059327373,3.5355339059327373,1510.0,0.0,0.0,0.0,31795.0,496.796875,1,2,3,4,5,0
1,4,191.5,0.5,3.5355339059327373,3.5355339059327373,1406.0,0.0,0.0,0.0,25233.0,548.5434782608696,1,1,1,1,1,0
1,5,191.5,0.5,3.5355339059327373,3.5355339059327373,1253.0,0.0,0.0,0.0,25642.0,557.4347826086956,1,1,1,1,1,0
1,6,191.5,0.5,3.5355339059327373,3.5355339059327373,1198.0,0.0,0.0,0.0,28335.0,615.9782608695652,1,1,1,1,1,0
1,7,191.5,0.5,3.5355339059327373,3.5355339059327373,1162.0,0.0,0.0,0.0,25262.0,549.1739130434783,1,1,1,1,1,0
1,8,191.5,0.5,3.5355339059327373,3.5355339059327373,1292.0,0.0,0.0,0.0,26094.0,567.2608695652174,1,1,3,3,4,0
1,9,192.5,0.5,3.5355339059327373,3.5355339059327373,1680.0,0.0,0.0,0.0,34039.0,739.9782608695652,1,2,3,4,5,0
1,10,192.1210017555349,3.0084878192674567,3.5355339059327373,3.5355339059327373,1490.0,0.0,0.0,0.0,41075.0,562.6712328767123,1,2,3,3,4,0
1,11,192.00904732185515,2.442551813445313,3.5355339059327373,3.5355339059327373,1237.0,0.0,0.0,0.0,40523.0,633.171875,1,2,3,4,5,0
1,12,192.27818943140682,2.7562700345818567,3.5355339059327373,3.5355339059327373,1452.0,0.0,0.0,0.0,41743.0,652.234375,1,2,3,4,5,0
1,13,191.5,0.5,3.5355339059327373,3.5355339059327373,1584.0,0.0,0.0,0.0,30561.0,664.3695652173913,1,2,3,4,5,0
1,14,192.2489269375667,2.862000996674238,3.5355339059327373,3.5355339059327373,1410.0,0.0,0.0,0.0,37518.0,586.21875,1,1,1,2,3,0
1,15,192.54578601588622,3.0501008683206696,3.5355339059327373,3.5355339059327373,1545.0,0.0,0.0,0.0,51485.0,705.2739726027397,1,1,2,2,3,0
1,16,192.36371203377752,2.4085069573072735,3.5355339059327373,3.5355339059327373,1595.0,0.0,0.0,0.0,45882.0,716.90625,1,1,2,2,3,0
1,17,192.7282137534086,3.145012709598062,3.5355339059327373,3.5355339059327373,1557.0,0.0,0.0,0.0,45258.0,619.972602739726,1,1,2,2,3,0
1,18,193.1993152182673,3.1642016362596923,3.5355339059327373,3.5355339059327373,1582.0,0.0,0.0,0.0,56364.0,772.1095890410959,1,1,2,2,3,0
1,19,192.745547588517,3.8349499806340424,3.5355339059327373,3.5355339059327373,1289.0,0.0,0.0,0.0,38107.0,522.013698630137,1,2,3,4,5,0
1,20,191.75356604956804,1.5130778736793749,3.5355339059327373,3.5355339059327373,1453.0,0.0,0.0,0.0,34804.0,632.8,1,2,3,4,5,0
1,21,193.51094858992172,5.5953635349458155,3.5355339059327373,3.5355339059327373,1630.0,0.0,0.0,0.0,55891.0,690.0123456790124,1,2,3,4,5,0
1,22,192.19480976053794,4.556926179707639,3.5355339059327373,3.5355339059327373,1412.0,0.0,0.0,0.0,52734.0,659.175,1,2,3,4,5,0
1,23,193.21000072783443,2.6934595838520123,3.5355339059327373,3.5355339059327373,1325.0,0.0,0.0,0.0,43908.0,686.0625,1,2,3,4,5,0
1,24,192.18813184570863,1.9761553649968748,3.5355339059327373,3.5355339059327373,1440.0,0.0,0.0,0.0,39601.0,720.0181818181818,1,2,3,4,5,0
1,25,191.96921384429288,1.3179422229139592,3.5355339059327373,3.5355339059327373,1347.0,0.0,0.0,0.0,35221.0,640.3818181818182,1,2,3,4,5,0
1,26,191.3635623533121,2.7307514667463963,3.5355339059327373,3.5355339059327373,1664.0,0.0,0.0,0.0,43459.0,679.046875,1,2,3,4,5,0
1,27,191.5,0.5,3.5355339059327373,3.5355339059327373,1470.0,0.0,0.0,0.0,28808.0,626.2608695652174,1,1,1,1,1,0
1,28,191.5,0.5,3.5355339059327373,3.5355339059327373,1552.0,0.0,0.0,0.0,36494.0,793.3478260869565,1,1,1,1,1,0
1,29,191.5,0.5,3.5355339059327373,3.5355339059327373,1466.0,0.0,0.0,0.0,32919.0,715.6304347826087,1,1,1,1,1,0
1,30,191.5,0.5,3.5355339059327373,3.5355339059327373,1297.0,0.0,0.0,0.0,27863.0,605.7173913043479,1,1,1,1,1,0
1,31,191.5,0.5,3.5355339059327373,3.5355339059327373,1561.0,0.0,0.0,0.0,34008.0,739.304347826087,1,1,2,3,4,0
1,32,191.94966333080373,1.1873782540279287,3.5355339059327373,3.5355339059327373,1410.0,0.0,0.0,0.0,35767.0,650.3090909090909,1,1,2,3,4,0
1,33,191.21326230975785,1.5378742861967214,3.5355339059327373,3.5355339059327373,1745.0,0.0,0.0,0.0,36876.0,670.4727272727273,1,1,2,3,4,0
1,34,190.5,0.5,3.5355339059327373,3.5355339059327373,1330.0,0.0,0.0,0.0,29401.0,639.1521739130435,1,1,2,3,4,0
1,35,191.5,0.5,3.5355339059327373,3.5355339059327373,1772.0,0.0,0.0,0.0,32812.0,713.304347826087,1,1,2,3,4,0
1,36,191.5,0.5,3.5355339059327373,3.5355339059327373,1511.0,0.0,0.0,0.0,24733.0,537.6739130434783,,,,,,0
2,1,154.64232916983337,4.9234554923105,3.5355339059327373,3.5355339059327373,892.0,0.0,0.0,0.0,24455.0,305.6875,1,2,2,3,4,0
2,2,154.26114378605087,4.056400397652673,3.5355339059327373,3.5355339059327373,944.0,0.0,0.0,0.0,24214.0,302.675,1,2,2,3,4,0
2,3,154.32362419227442,5.026892917602444,3.5355339059327373,3.5355339059327373,989.0,0.0,0.0,0.0,20500.0,253.08641975308643,1,2,3,4,5,0
2,4,154.2132303670959,6.974237412162616,3.5355339059327373,3.5355339059327373,863.0,0.0,0.0,0.0,28275.0,349.0740740740741,1,2,3,4,5,0
2,5,155.2162060357297,4.9096124315029055,3.5355339059327373,3.5355339059327373,966.0,0.0,0.0,0.0,29076.0,363.45,1,1,1,2,2,0
2,6,155.04277943191315,4.3920981173080715,3.5355339059327373,3.5355339059327373,1103.0,0.0,0.0,0.0,20231.0,252.8875,1,1,1,2,2,0
2,7,155.56961953655656,4.786888223095498,3.5355339059327373,3.5355339059327373,1059.0,0.0,0.0,0.0,25435.0,317.9375,1,1,1,2,2,0
2,8,155.39059260409536,4.419510890249873,3.5355339059327373,3.5355339059327373,964.0,0.0,0.0,0.0,22723.0,284.0375,1,1,1,2,2,0
2,9,154.71896473912048,4.407719666527614,3.5355339059327373,3.5355339059327373,971.0,0.0,0.0,0.0,20001.0,250.0125,1,1,1,2,3,0
2,10,154.74805044921584,3.7697603962100263,3.5355339059327373,3.5355339059327373,1059.0,0.0,0.0,0.0,17849.0,244.5068493150685,1,2,3,4,5,0
2,11,155.2500569381264,7.749003415077609,3.5355339059327373,3.5355339059327373,1225.0,0.0,0.0,0.0,30237.0,373.2962962962963,1,2,3,4,5,0
2,12,155.53579651344089,6.876660329875134,3.5355339059327373,3.5355339059327373,987.0,0.0,0.0,0.0,34737.0,428.85185185185185,1,2,3,4,5,0
2,13,156.01848559796608,3.7346056207481584,3.5355339059327373,3.5355339059327373,1010.0,0.0,0.0,0.0,32255.0,441.8493150684931,1,2,3,4,5,0
2,14,155.41499832183106,6.246054334260084,3.5355339059327373,3.5355339059327373,845.0,0.0,0.0,0.0,27414.0,338.44444444444446,1,2,2,3,4,0
2,15,155.82569880868564,6.122665750397699,3.5355339059327373,3.5355339059327373,817.0,0.0,0.0,0.0,22357.0,276.01234567901236,1,2,2,3,4,0
2,16,154.9364013759632,6.623178180080377,3.5355339059327373,3.5355339059327373,1245.0,0.0,0.0,0.0,27195.0,335.74074074074076,1,2,2,3,4,0
2,17,155.28403502878714,5.106900926553435,3.5355339059327373,3.5355339059327373,832.0,0.0,0.0,0.0,18725.0,231.17283950617283,1,2,2,3,4,0
2,18,155.29363248192007,4.919314844513825,3.5355339059327373,3.5355339059327373,909.0,0.0,0.0,0.0,23280.0,291.0,1,2,3,4,5,0
2,19,154.0367140756407,5.721679819770085,3.5355339059327373,3.5355339059327373,1434.0,0.0,0.0,0.0,33577.0,414.5308641975309,1,2,3,4,5,0
2,20,155.86864279738603,7.695674627004773,3.5355339059327373,3.5355339059327373,1070.0,0.0,0.0,0.0,37705.0,465.4938271604938,1,2,3,4,5,0
2,21,156.72533941975402,6.629972775538409,3.5355339059327373,3.5355339059327373,1404.0,0.0,0.0,0.0,43107.0,532.1851851851852,1,2,3,4,5,0
2,22,155.16632652418036,5.554255744090642,3.5355339059327373,3.5355339059327373,1055.0,0.0,0.0,0.0,32751.0,404.3333333333333,1,2,3,4,5,0
2,23,155.5,0.5,3.5355339059327373,3.5355339059327373,1030.0,0.0,0.0,0.0,15698.0,341.2608695652174,1,2,3,4,5,0
2,24,157.0,0.5,3.5355339059327373,3.5355339059327373,882.5,0.0,0.0,0.0,14357.5,-1.0,1,2,3,4,5,0
2,25,158.5,0.5,3.5355339059327373,3.5355339059327373,735.0,0.0,0.0,0.0,13017.0,282.9782608695652,1,2,3,4,5,0
