No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,10.3733,265.256,2.37151,2.13295,319.908,173.66,2.79383,3.10492,9937.49,233.302,1,1,1,1,1,0
1,2,10.6565,265.239,1.83021,1.80852,540.622,149.818,-3.07686,1.82389,11221.3,221.521,1,1,1,1,1,0
1,3,10.6542,265.343,2.10512,1.96981,444.022,145.102,0.237124,2.32855,11488.6,215.053,1,2,2,3,4,0
1,4,11.5861,264.674,2.07414,1.89854,459.401,190.819,-1.34202,-2.1065,11300.8,248.544,1,2,2,3,4,0
1,5,11.9056,264.224,2.05235,1.63314,564.085,185.098,1.47254,-0.0151099,11839.3,250.604,1,2,2,3,4,0
1,6,12.7027,263.773,2.40422,2.02565,404.345,149.912,0.162,-0.982258,12180.8,218.379,1,2,2,3,4,0
1,7,11.8574,263.066,2.52401,2.06474,341.664,134.05,5.2586,-0.552299,10961.6,201.183,1,2,2,3,4,0
1,8,11.8785,261.472,2.0323,2.00097,273.081,158.094,-1.7442,7.39631,6935.29,198.568,1,2,2,3,4,0
1,9,11.8002,260.9,1.82518,1.57299,403.608,177.766,-2.62562,3.48358,7273.08,217.846,1,1,2,3,4,0
1,10,11.9725,261.147,1.43512,1.36546,674.624,212.754,3.70001,6.02936,8306.13,258.633,1,2,2,3,4,0
1,11,11.6754,261.945,1.51494,1.91942,628.336,234.568,-3.19052,7.74739,11460.9,287.935,1,2,2,3,4,0
1,12,10.9339,263.067,2.42462,3.54481,832.306,77.9703,-13.3774,1.68892,42560,341.757,1,2,2,3,4,0
1,13,11.1207,262.685,2.01921,2.15934,998.85,170.759,-1.14601,-3.1367,26618.3,326.024,1,2,2,3,4,0
1,14,11.4818,261.85,2.50595,2.85017,769.622,135.638,-1.47196,-8.12475,32746.3,339.663,1,2,2,3,4,0
1,15,10.5325,262.665,1.80054,1.85471,598.551,157.729,4.21609,-9.38519,12048.5,230.657,1,1,2,3,4,0
1,16,10.3797,262.956,1.95233,1.7785,618.275,124.748,2.89454,-7.78341,13449.3,209.314,1,1,2,3,1,0
1,17,10.2438,262.637,2.26662,2.30093,443.567,112.385,3.2816,-3.07784,14283.5,211.195,1,2,3,4,5,0
1,18,8.18786,265.678,2.16223,2.1333,298.042,98.0327,2.34103,-5.76836,8154.26,145.337,1,2,3,4,5,0
1,19,6.3959,267.447,2.2759,1.83287,390.908,74.5015,2.37692,-1.57031,10092.3,134.278,1,1,2,2,3,0
1,20,6.27139,267.922,2.26723,2.20795,431.336,69.6648,-0.224074,-1.37589,13448.3,148.959,1,1,2,2,3,0
1,21,6.14688,268.398,2.25856,2.58303,471.764,64.8282,-2.82507,-1.18148,16804.3,163.639,1,1,2,2,3,0
