No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,186.29393520224056,0.5,3.181980515339464,3.181980515339464,1509.0,0.0,0.0,0.0,29629.0,759.7179487179487,1,1,2,2,3,0
1,2,185.6835036424173,0.5,3.181980515339464,3.181980515339464,1406.0,0.0,0.0,0.0,23288.0,597.1282051282051,1,1,2,2,3,0
1,3,185.15354681723971,0.5,3.181980515339464,3.181980515339464,1351.0,0.0,0.0,0.0,25335.0,649.6153846153846,1,1,2,2,3,0
1,4,185.8672169814844,0.5,3.181980515339464,3.181980515339464,1208.0,0.0,0.0,0.0,25816.0,661.9487179487179,1,1,2,2,3,0
1,5,185.09507165842118,0.5,3.181980515339464,3.181980515339464,1422.0,0.0,0.0,0.0,24569.0,629.974358974359,1,1,2,2,3,0
1,6,184.64405722378626,0.5,3.181980515339464,3.181980515339464,1116.0,0.0,0.0,0.0,24107.0,618.1282051282051,1,1,2,2,3,0
1,7,184.71807933740473,0.5,3.181980515339464,3.181980515339464,1165.0,0.0,0.0,0.0,21574.0,553.1794871794872,1,1,2,2,3,0
1,8,183.87897110839418,0.5,3.181980515339464,3.181980515339464,1066.0,0.0,0.0,0.0,20589.0,527.9230769230769,1,1,2,2,3,0
1,9,183.38797956101897,0.5,3.181980515339464,3.181980515339464,1204.0,0.0,0.0,0.0,25354.0,650.1025641025641,1,1,1,2,2,0
1,10,183.6584834976497,0.5,3.181980515339464,3.181980515339464,1286.0,0.0,0.0,0.0,27236.0,698.3589743589744,1,1,1,2,2,0
1,11,184.02270417604245,0.5,3.181980515339464,3.181980515339464,1422.0,0.0,0.0,0.0,29905.0,766.7948717948718,1,1,1,2,2,0
1,12,184.38013077182725,0.5,3.181980515339464,3.181980515339464,1344.0,0.0,0.0,0.0,26435.0,677.8205128205128,1,1,1,2,2,0
1,13,184.35253390130558,0.5,3.181980515339464,3.181980515339464,1208.0,0.0,0.0,0.0,23832.0,611.0769230769231,1,1,2,2,3,0
1,14,183.58934309949765,0.5,3.181980515339464,3.181980515339464,1257.0,0.0,0.0,0.0,25427.0,651.974358974359,1,1,2,2,3,0
1,15,183.2229845212482,0.5,3.181980515339464,3.181980515339464,1663.0,0.0,0.0,0.0,27270.0,699.2307692307693,1,1,2,3,4,0
