No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,6.53248,269.658,2.57186,2.10447,2228.26,506.497,2.31081,49.9546,88570.8,1021.23,1,2,3,4,5,0
1,2,7.29103,271.387,2.33624,3.07552,1614.64,608.434,13.1269,34.3438,67287.9,1011.88,1,2,3,4,5,0
1,3,8.04958,273.117,2.10062,4.04657,1001.02,710.371,23.9431,18.7329,46005,1002.52,1,2,3,4,5,0
1,4,7.77382,274.655,2.28476,3.14286,1335.95,598.336,-5.63283,-13.688,58075.2,948.456,1,2,3,3,4,0
1,5,9.13641,274.893,2.46252,1.74004,1374.5,519.26,-13.4337,-5.16037,36458.9,724.817,1,2,2,3,4,0
1,6,10.0444,275.059,3.24028,2.36807,1277.7,370.542,-22.72,4.3534,63755.9,789.645,1,2,2,3,4,0
1,7,8.74973,275.46,2.11279,2.21498,1239.65,611.373,-22.8169,-2.5552,35518.2,825.16,1,1,2,3,4,0
1,8,8.82747,276.169,1.8892,2.5187,1468.82,730.294,-40.8034,36.6053,45888.1,1010.27,1,1,2,3,3,0
1,9,8.61355,275.95,1.79383,2.57035,1364.48,752.9,-39.8467,83.7753,43719.7,988.308,1,1,2,2,3,0
1,10,8.33098,276.04,1.91714,2.38248,1513.96,670.713,-26.6441,74.3789,46256.7,964.781,1,1,2,3,3,0
1,11,8.40964,275.609,1.88517,2.28962,1783.29,541.971,-21.0725,64.2688,47839.1,842.379,1,1,2,3,4,0
1,12,8.24322,274.57,2.34573,1.4548,1574.64,478.811,-0.0091595,43.3432,33411.6,675.361,1,1,2,3,4,0
1,13,8.20562,273.918,3.11662,1.78737,1056.05,415.419,22.3185,18.8816,35427.2,627.609,1,1,2,3,4,0
1,14,7.57659,273.422,2.29025,1.65796,887.176,496.558,26.7198,16.441,22768.7,617.121,1,1,2,3,4,0
1,15,6.94756,272.925,1.46387,1.52855,718.299,577.697,31.1211,14.0004,10110.2,606.633,,,,,,0
2,1,11.4212,299.711,1.62174,1.87178,1169.78,273.001,30.1571,-33.8137,22893,427.876,1,1,1,1,1,0
2,2,11.6515,299.575,1.81361,1.81696,1173.88,268.155,34.2196,-25.0224,24341.8,421.249,1,1,1,1,1,0
2,3,11.7861,299.554,2.2103,1.67375,1059.12,303.725,36.8785,-11.5128,23198.2,445.053,1,1,1,1,1,0
2,4,11.7235,299.514,1.7146,1.88039,900.861,358.194,33.0766,-4.19113,16256.4,456.959,1,1,1,1,1,0
2,5,11.6339,299.838,1.93436,1.83322,986.393,287.991,31.7701,-15.5788,21912.3,431.485,1,1,1,1,1,0
2,6,11.3805,299.594,1.80807,1.88143,1123.31,209.662,23.2262,-13.0708,24477.2,369.414,1,1,1,1,1,0
2,7,11.4685,299.972,1.9356,1.76451,965.622,220.591,16.7871,-10.7051,20729.2,359.195,1,1,1,1,1,0
2,8,11.8417,300.357,2.39251,2.37109,797.593,197.907,12.11,-22.8792,27767.7,370.385,1,1,1,1,1,0
2,9,11.665,299.84,2.38867,2.1572,888.712,221.024,12.5653,-30.3514,28278.4,412.544,1,1,1,1,1,0
2,10,11.5769,299.72,2.07269,2.00402,1010.43,263.114,36.9555,-24.4964,25854,442.213,1,1,1,1,1,0
2,11,11.6495,300.076,1.93384,1.80414,1042.48,356.768,22.3516,-36.2207,22853.1,485.941,1,1,1,1,1,0
2,12,11.6729,300.393,2.20147,2.0245,913.161,262.305,-2.99388,-50.3742,27837.1,428.077,1,1,1,1,1,0
2,13,11.1782,300.29,2.10498,2.2354,814.471,217.398,3.07432,-35.1755,27193,380.296,1,1,1,1,1,0
2,14,11.2843,300.526,1.71337,2.16392,859.093,218.055,-6.21379,-52.381,19397,353.154,1,1,1,1,1,0
2,15,11.4922,300.048,1.79538,1.8474,959.821,262.3,-8.34138,-48.3215,20035.1,377.237,1,1,1,1,1,0
2,16,11.7845,300.288,1.86312,1.50091,938.792,309.968,-4.36833,-52.1264,21251.6,424.237,1,1,1,1,1,0
2,17,11.3912,299.848,1.66099,2.18246,587.413,365.832,-0.968075,-49.3776,10567.2,479.059,1,1,1,1,1,0
2,18,11.6571,299.934,1.88697,1.84419,734.496,294.292,-9.9882,-44.3629,15980.7,429.556,1,1,1,1,1,0
2,19,11.7604,299.946,1.96908,1.73837,896.414,277.606,-13.2502,-43.6207,19254,433.414,1,1,1,1,1,0
2,20,11.8294,299.923,1.99746,1.86684,1105.7,317.75,-26.3987,-51.2008,25998.8,507.006,1,1,1,1,1,0
2,21,11.963,299.741,2.15321,1.66427,967.945,324.584,-27.623,-58.7995,21692.4,479.03,,,,,,0
3,1,33.7645,289.435,2.84986,3.34268,1272.32,554.807,-24.2755,59.288,62835.7,917.864,1,1,2,3,4,0
3,2,34.0697,289.459,4.07258,2.71669,1325.07,314.351,-53.8336,40.5977,80755,792.811,1,2,2,3,4,0
3,3,32.6955,289.01,3.33654,2.4565,1209.53,465.487,-8.81959,36.8541,56988.5,838.953,1,1,2,3,4,0
3,4,32.416,288.664,2.95238,2.53795,1464.13,451.199,1.31649,50.6509,65975,856.006,1,1,2,3,4,0
3,5,32.7052,289.211,3.02474,2.4966,1412.13,484.222,5.71466,36.2522,62502.6,855.26,1,1,2,3,4,0
3,6,33.1199,289.907,3.36452,3.38215,1442.63,303.613,0.0952038,25.0658,87805.5,847.112,1,2,2,3,4,0
3,7,33.9429,289.442,3.30504,3.52019,995.565,495.066,-18.5997,52.8862,61807.3,865.769,1,2,3,4,5,0
3,8,36.7325,292.216,2.05442,1.94327,1217.53,864.826,-89.8234,-4.00204,30380.4,1031.09,1,2,3,4,5,0
3,9,35.5953,290.851,2.3442,2.62246,1356.98,692.199,-42.48,32.9563,54516.5,1010.88,1,2,3,4,5,0
3,10,34.4581,289.486,2.63398,3.30165,1496.43,519.572,4.86338,69.9147,78652.7,990.663,1,1,2,3,4,0
