No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,12.560607320261003,0.5,3.181980515339464,3.181980515339464,15709.0,0.0,0.0,0.0,407205.0,10441.153846153846,1,1,1,1,1,0
1,2,12.649985710509526,0.5,3.181980515339464,3.181980515339464,17522.0,0.0,0.0,0.0,436908.0,11202.76923076923,1,1,1,1,1,0
1,3,12.937693558048114,0.5,3.181980515339464,3.181980515339464,16841.0,0.0,0.0,0.0,458484.0,11756.0,1,1,1,1,1,0
1,4,13.449834475084035,0.5,3.181980515339464,3.181980515339464,19035.0,0.0,0.0,0.0,488659.0,12529.71794871795,1,1,1,1,1,0
1,5,12.83220646249047,0.5,3.181980515339464,3.181980515339464,14998.0,0.0,0.0,0.0,395461.0,10140.02564102564,1,1,1,1,1,0
1,6,12.56313001835202,0.5,3.181980515339464,3.181980515339464,13416.0,0.0,0.0,0.0,379531.0,9731.564102564103,1,1,1,1,1,0
1,7,12.343230131003013,0.5,3.181980515339464,3.181980515339464,11979.0,0.0,0.0,0.0,322391.0,8266.435897435897,1,1,1,1,1,0
1,8,11.70084025555641,0.5,3.181980515339464,3.181980515339464,11210.0,0.0,0.0,0.0,287005.0,7359.102564102564,1,1,1,1,1,0
1,9,11.610784040262873,0.5,3.181980515339464,3.181980515339464,11569.0,0.0,0.0,0.0,303061.0,7770.794871794872,1,1,1,1,1,0
1,10,12.051764742548222,0.5,3.181980515339464,3.181980515339464,12983.0,0.0,0.0,0.0,349024.0,8949.333333333334,1,1,1,1,1,0
1,11,12.204813669816703,0.5,3.181980515339464,3.181980515339464,12618.0,0.0,0.0,0.0,335465.0,8601.666666666666,1,1,1,1,1,0
1,12,12.429643302239958,0.5,3.181980515339464,3.181980515339464,12494.0,0.0,0.0,0.0,340488.0,8730.461538461539,1,1,1,1,1,0
1,13,12.90609441415472,0.5,3.181980515339464,3.181980515339464,12179.0,0.0,0.0,0.0,334099.0,8566.641025641025,1,1,1,1,1,0
